SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000510,2026-03-01 14:30:00,2026-03-02,STREAM BOX,monthly subscription,-4460,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000510,TERM-1060,counterparty-30,2967600,household account; monthly subscription; statement export,PROVIDER-2026-00000510,2
TX-000511,2026-03-02 15:37:00,2026-03-03,GREEN MARKET,fresh food,-4597,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000511,TERM-1061,counterparty-31,2963003,household account; fresh food; statement export,PROVIDER-2026-00000511,3
TX-000512,2026-03-03 16:44:00,2026-03-04,BOOK HOUSE,books and stationery,-4734,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000512,TERM-1062,counterparty-00,2958269,household account; books and stationery; statement export,PROVIDER-2026-00000512,0
TX-000513,2026-03-04 17:51:00,2026-03-05,NOVA MARKET,groceries,-4871,RUB,4403,qr,posted,food.groceries,RU,5311,AUTH-0000000513,TERM-1063,counterparty-01,2953398,household account; groceries; statement export,PROVIDER-2026-00000513,1
TX-000514,2026-03-05 18:58:00,2026-03-06,CITY RIDE,completed ride,-5008,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000514,TERM-1064,counterparty-02,2948390,household account; completed ride; statement export,PROVIDER-2026-00000514,2
TX-000515,2026-03-06 19:05:00,2026-03-07,RIVER PAY,online order,-5145,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000515,TERM-1065,counterparty-03,2943245,household account; online order; statement export,PROVIDER-2026-00000515,3
TX-000516,2026-03-07 08:12:00,2026-03-08,NORTH CAFE,coffee and lunch,-5282,RUB,4406,qr,posted,food.cafe,RU,5814,AUTH-0000000516,TERM-1066,counterparty-04,2937963,household account; coffee and lunch; statement export,PROVIDER-2026-00000516,0
TX-000517,2026-03-08 09:19:00,2026-03-09,MEDI-CORNER,pharmacy goods,-5419,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000517,TERM-1067,counterparty-05,2932544,household account; pharmacy goods; statement export,PROVIDER-2026-00000517,1
TX-000518,2026-03-09 10:26:00,2026-03-10,STREAM BOX,monthly subscription,-5556,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000518,TERM-1068,counterparty-06,2926988,household account; monthly subscription; statement export,PROVIDER-2026-00000518,2
TX-000519,2026-03-10 11:33:00,2026-03-11,GREEN MARKET,fresh food,-5693,RUB,4409,qr,posted,food.groceries,RU,5411,AUTH-0000000519,TERM-1069,counterparty-07,2921295,household account; fresh food; statement export,PROVIDER-2026-00000519,3
TX-000520,2026-03-11 12:40:00,2026-03-12,BOOK HOUSE,books and stationery,-5830,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000520,TERM-1070,counterparty-08,2915465,household account; books and stationery; statement export,PROVIDER-2026-00000520,0
TX-000521,2026-03-12 13:47:00,2026-03-13,NOVA MARKET,groceries,-5967,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000521,TERM-1071,counterparty-09,2909498,household account; groceries; statement export,PROVIDER-2026-00000521,1
TX-000522,2026-03-13 14:54:00,2026-03-14,CITY RIDE,completed ride,-6104,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000522,TERM-1072,counterparty-10,2903394,household account; completed ride; statement export,PROVIDER-2026-00000522,2
TX-000523,2026-03-14 15:01:00,2026-03-15,RIVER PAY,online order,-6241,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000523,TERM-1073,counterparty-11,2897153,household account; online order; statement export,PROVIDER-2026-00000523,3
TX-000524,2026-03-15 16:08:00,2026-03-16,NORTH CAFE,coffee and lunch,-6378,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000524,TERM-1074,counterparty-12,2890775,household account; coffee and lunch; statement export,PROVIDER-2026-00000524,0
TX-000525,2026-03-16 17:15:00,2026-03-17,MEDI-CORNER,pharmacy goods,-6515,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000525,TERM-1075,counterparty-13,2884260,household account; pharmacy goods; statement export,PROVIDER-2026-00000525,1
TX-000526,2026-03-17 18:22:00,2026-03-18,STREAM BOX,monthly subscription,-6652,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000526,TERM-1076,counterparty-14,2877608,household account; monthly subscription; statement export,PROVIDER-2026-00000526,2
TX-000527,2026-03-18 19:29:00,2026-03-19,GREEN MARKET,fresh food,-6789,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000527,TERM-1077,counterparty-15,2870819,household account; fresh food; statement export,PROVIDER-2026-00000527,3
TX-000528,2026-03-19 08:36:00,2026-03-20,BOOK HOUSE,books and stationery,-6926,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000528,TERM-1078,counterparty-16,2863893,household account; books and stationery; statement export,PROVIDER-2026-00000528,0
TX-000529,2026-03-20 09:43:00,2026-03-21,NOVA MARKET,groceries,-7063,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000529,TERM-1079,counterparty-17,2856830,household account; groceries; statement export,PROVIDER-2026-00000529,1
TX-000530,2026-03-21 10:50:00,2026-03-22,CITY RIDE,completed ride,-7200,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000530,TERM-1080,counterparty-18,2849630,household account; completed ride; statement export,PROVIDER-2026-00000530,2
TX-000531,2026-03-22 11:57:00,2026-03-23,RIVER PAY,online order,-7337,RUB,4401,qr,posted,services.digital,RU,5812,AUTH-0000000531,TERM-1081,counterparty-19,2842293,household account; online order; statement export,PROVIDER-2026-00000531,3
TX-000532,2026-03-23 12:04:00,2026-03-24,NORTH CAFE,coffee and lunch,-7474,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000532,TERM-1082,counterparty-20,2834819,household account; coffee and lunch; statement export,PROVIDER-2026-00000532,0
TX-000533,2026-03-24 13:11:00,2026-03-25,MEDI-CORNER,pharmacy goods,-7611,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000533,TERM-1083,counterparty-21,2827208,household account; pharmacy goods; statement export,PROVIDER-2026-00000533,1
TX-000534,2026-03-25 14:18:00,2026-03-26,STREAM BOX,monthly subscription,-7748,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000534,TERM-1084,counterparty-22,2819460,household account; monthly subscription; statement export,PROVIDER-2026-00000534,2
TX-000535,2026-03-26 15:25:00,2026-03-27,GREEN MARKET,fresh food,-7885,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000535,TERM-1085,counterparty-23,2811575,household account; fresh food; statement export,PROVIDER-2026-00000535,3
TX-000536,2026-03-27 16:32:00,2026-03-28,BOOK HOUSE,books and stationery,-8022,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000536,TERM-1086,counterparty-24,2803553,household account; books and stationery; statement export,PROVIDER-2026-00000536,0
TX-000537,2026-03-28 17:39:00,2026-03-29,NOVA MARKET,groceries,-8159,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000537,TERM-1087,counterparty-25,2795394,household account; groceries; statement export,PROVIDER-2026-00000537,1
TX-000538,2026-03-29 18:46:00,2026-03-30,CITY RIDE,completed ride,-8296,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000538,TERM-1088,counterparty-26,2787098,household account; completed ride; statement export,PROVIDER-2026-00000538,2
TX-000539,2026-03-30 19:53:00,2026-03-31,RIVER PAY,online order,-8433,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000539,TERM-1089,counterparty-27,2778665,household account; online order; statement export,PROVIDER-2026-00000539,3
TX-000540,2026-03-31 08:00:00,2026-04-01,NORTH CAFE,coffee and lunch,-8570,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000540,TERM-1000,counterparty-28,2770095,household account; coffee and lunch; statement export,PROVIDER-2026-00000540,0
TX-000541,2026-01-01 09:07:00,2026-01-02,MEDI-CORNER,pharmacy goods,-8707,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000541,TERM-1001,counterparty-29,2761388,household account; pharmacy goods; statement export,PROVIDER-2026-00000541,1
TX-000542,2026-01-02 10:14:00,2026-01-03,STREAM BOX,monthly subscription,-8844,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000542,TERM-1002,counterparty-30,2752544,household account; monthly subscription; statement export,PROVIDER-2026-00000542,2
TX-000543,2026-01-03 11:21:00,2026-01-04,GREEN MARKET,fresh food,-8981,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000543,TERM-1003,counterparty-31,2743563,household account; fresh food; statement export,PROVIDER-2026-00000543,3
TX-000544,2026-01-04 12:28:00,2026-01-05,BOOK HOUSE,books and stationery,-9118,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000544,TERM-1004,counterparty-00,2734445,household account; books and stationery; statement export,PROVIDER-2026-00000544,0
TX-000545,2026-01-05 13:35:00,2026-01-06,NOVA MARKET,groceries,-9255,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000545,TERM-1005,counterparty-01,2725190,household account; groceries; statement export,PROVIDER-2026-00000545,1
TX-000546,2026-01-06 14:42:00,2026-01-07,CITY RIDE,completed ride,-9392,RUB,4406,qr,posted,transport,RU,4121,AUTH-0000000546,TERM-1006,counterparty-02,2715798,household account; completed ride; statement export,PROVIDER-2026-00000546,2
TX-000547,2026-01-07 15:49:00,2026-01-08,RIVER PAY,online order,-9529,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000547,TERM-1007,counterparty-03,2706269,household account; online order; statement export,PROVIDER-2026-00000547,3
TX-000548,2026-01-08 16:56:00,2026-01-09,SALARY TEST,monthly income,250000,RUB,4408,card,posted,income.salary,RU,6011,AUTH-0000000548,TERM-1008,counterparty-04,2956269,household account; monthly income; statement export,PROVIDER-2026-00000548,0
TX-000549,2026-01-09 17:03:00,2026-01-10,MEDI-CORNER,pharmacy goods,-9803,RUB,4409,qr,posted,health.pharmacy,RU,5912,AUTH-0000000549,TERM-1009,counterparty-05,2946466,household account; pharmacy goods; statement export,PROVIDER-2026-00000549,1
TX-000550,2026-01-10 18:10:00,2026-01-11,STREAM BOX,monthly subscription,-9940,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000550,TERM-1010,counterparty-06,2936526,household account; monthly subscription; statement export,PROVIDER-2026-00000550,2
TX-000551,2026-01-11 19:17:00,2026-01-12,GREEN MARKET,fresh food,-10077,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000551,TERM-1011,counterparty-07,2926449,household account; fresh food; statement export,PROVIDER-2026-00000551,3
TX-000552,2026-01-12 08:24:00,2026-01-13,BOOK HOUSE,books and stationery,-10214,RUB,4402,qr,posted,unknown,RU,5942,AUTH-0000000552,TERM-1012,counterparty-08,2916235,household account; books and stationery; statement export,PROVIDER-2026-00000552,0
TX-000553,2026-01-13 09:31:00,2026-01-14,NOVA MARKET,groceries,-10351,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000553,TERM-1013,counterparty-09,2905884,household account; groceries; statement export,PROVIDER-2026-00000553,1
TX-000554,2026-01-14 10:38:00,2026-01-15,CITY RIDE,completed ride,-10488,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000554,TERM-1014,counterparty-10,2895396,household account; completed ride; statement export,PROVIDER-2026-00000554,2
TX-000555,2026-01-15 11:45:00,2026-01-16,RIVER PAY,online order,-10625,RUB,4405,qr,posted,services.digital,RU,5812,AUTH-0000000555,TERM-1015,counterparty-11,2884771,household account; online order; statement export,PROVIDER-2026-00000555,3
TX-000556,2026-01-16 12:52:00,2026-01-17,NORTH CAFE,coffee and lunch,-10762,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000556,TERM-1016,counterparty-12,2874009,household account; coffee and lunch; statement export,PROVIDER-2026-00000556,0
TX-000557,2026-01-17 13:59:00,2026-01-18,MEDI-CORNER,pharmacy goods,-10899,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000557,TERM-1017,counterparty-13,2863110,household account; pharmacy goods; statement export,PROVIDER-2026-00000557,1
TX-000558,2026-01-18 14:06:00,2026-01-19,STREAM BOX,monthly subscription,-11036,RUB,4408,qr,posted,services.digital,RU,4899,AUTH-0000000558,TERM-1018,counterparty-14,2852074,household account; monthly subscription; statement export,PROVIDER-2026-00000558,2
TX-000559,2026-01-19 15:13:00,2026-01-20,GREEN MARKET,fresh food,-11173,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000559,TERM-1019,counterparty-15,2840901,household account; fresh food; statement export,PROVIDER-2026-00000559,3
TX-000560,2026-01-20 16:20:00,2026-01-21,BOOK HOUSE,books and stationery,-11310,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000560,TERM-1020,counterparty-16,2829591,household account; books and stationery; statement export,PROVIDER-2026-00000560,0
TX-000561,2026-01-21 17:27:00,2026-01-22,NOVA MARKET,groceries,-11447,RUB,4401,qr,posted,food.groceries,RU,5311,AUTH-0000000561,TERM-1021,counterparty-17,2818144,household account; groceries; statement export,PROVIDER-2026-00000561,1
TX-000562,2026-01-22 18:34:00,2026-01-23,CITY RIDE,completed ride,-11584,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000562,TERM-1022,counterparty-18,2806560,household account; completed ride; statement export,PROVIDER-2026-00000562,2
TX-000563,2026-01-23 19:41:00,2026-01-24,RIVER PAY,online order,-11721,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000563,TERM-1023,counterparty-19,2794839,household account; online order; statement export,PROVIDER-2026-00000563,3
TX-000564,2026-01-24 08:48:00,2026-01-25,NORTH CAFE,coffee and lunch,-11858,RUB,4404,qr,posted,food.cafe,RU,5814,AUTH-0000000564,TERM-1024,counterparty-20,2782981,household account; coffee and lunch; statement export,PROVIDER-2026-00000564,0
TX-000565,2026-01-25 09:55:00,2026-01-26,MEDI-CORNER,pharmacy goods,-11995,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000565,TERM-1025,counterparty-21,2770986,household account; pharmacy goods; statement export,PROVIDER-2026-00000565,1
TX-000566,2026-01-26 10:02:00,2026-01-27,STREAM BOX,monthly subscription,-12132,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000566,TERM-1026,counterparty-22,2758854,household account; monthly subscription; statement export,PROVIDER-2026-00000566,2
TX-000567,2026-01-27 11:09:00,2026-01-28,GREEN MARKET,fresh food,-12269,RUB,4407,qr,posted,food.groceries,RU,5411,AUTH-0000000567,TERM-1027,counterparty-23,2746585,household account; fresh food; statement export,PROVIDER-2026-00000567,3
TX-000568,2026-01-28 12:16:00,2026-01-29,BOOK HOUSE,books and stationery,-12406,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000568,TERM-1028,counterparty-24,2734179,household account; books and stationery; statement export,PROVIDER-2026-00000568,0
TX-000569,2026-01-29 13:23:00,2026-01-30,NOVA MARKET,groceries,-12543,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000569,TERM-1029,counterparty-25,2721636,household account; groceries; statement export,PROVIDER-2026-00000569,1
TX-000570,2026-01-30 14:30:00,2026-01-31,CITY RIDE,completed ride,-12680,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000570,TERM-1030,counterparty-26,2708956,household account; completed ride; statement export,PROVIDER-2026-00000570,2
TX-000571,2026-01-31 15:37:00,2026-02-01,RIVER PAY,online order,-12817,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000571,TERM-1031,counterparty-27,2696139,household account; online order; statement export,PROVIDER-2026-00000571,3
TX-000572,2026-02-01 16:44:00,2026-02-02,NORTH CAFE,coffee and lunch,-12954,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000572,TERM-1032,counterparty-28,2683185,household account; coffee and lunch; statement export,PROVIDER-2026-00000572,0
TX-000573,2026-02-02 17:51:00,2026-02-03,MEDI-CORNER,pharmacy goods,-13091,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000573,TERM-1033,counterparty-29,2670094,household account; pharmacy goods; statement export,PROVIDER-2026-00000573,1
TX-000574,2026-02-03 18:58:00,2026-02-04,STREAM BOX,monthly subscription,-13228,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000574,TERM-1034,counterparty-30,2656866,household account; monthly subscription; statement export,PROVIDER-2026-00000574,2
TX-000575,2026-02-04 19:05:00,2026-02-05,GREEN MARKET,fresh food,-13365,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000575,TERM-1035,counterparty-31,2643501,household account; fresh food; statement export,PROVIDER-2026-00000575,3
TX-000576,2026-02-05 08:12:00,2026-02-06,BOOK HOUSE,books and stationery,-13502,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000576,TERM-1036,counterparty-00,2629999,household account; books and stationery; statement export,PROVIDER-2026-00000576,0
TX-000577,2026-02-06 09:19:00,2026-02-07,NOVA MARKET,groceries,-13639,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000577,TERM-1037,counterparty-01,2616360,household account; groceries; statement export,PROVIDER-2026-00000577,1
TX-000578,2026-02-07 10:26:00,2026-02-08,CITY RIDE,completed ride,-13776,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000578,TERM-1038,counterparty-02,2602584,household account; completed ride; statement export,PROVIDER-2026-00000578,2
TX-000579,2026-02-08 11:33:00,2026-02-09,RIVER PAY,online order,-13913,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000579,TERM-1039,counterparty-03,2588671,household account; online order; statement export,PROVIDER-2026-00000579,3
TX-000580,2026-02-09 12:40:00,2026-02-10,NORTH CAFE,coffee and lunch,-14050,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000580,TERM-1040,counterparty-04,2574621,household account; coffee and lunch; statement export,PROVIDER-2026-00000580,0
TX-000581,2026-02-10 13:47:00,2026-02-11,MEDI-CORNER,pharmacy goods,-14187,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000581,TERM-1041,counterparty-05,2560434,household account; pharmacy goods; statement export,PROVIDER-2026-00000581,1
TX-000582,2026-02-11 14:54:00,2026-02-12,STREAM BOX,monthly subscription,-14324,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000582,TERM-1042,counterparty-06,2546110,household account; monthly subscription; statement export,PROVIDER-2026-00000582,2
TX-000583,2026-02-12 15:01:00,2026-02-13,GREEN MARKET,fresh food,-14461,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000583,TERM-1043,counterparty-07,2531649,household account; fresh food; statement export,PROVIDER-2026-00000583,3
TX-000584,2026-02-13 16:08:00,2026-02-14,BOOK HOUSE,books and stationery,-14598,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000584,TERM-1044,counterparty-08,2517051,household account; books and stationery; statement export,PROVIDER-2026-00000584,0
TX-000585,2026-02-14 17:15:00,2026-02-15,NOVA MARKET,groceries,-14735,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000585,TERM-1045,counterparty-09,2502316,household account; groceries; statement export,PROVIDER-2026-00000585,1
